Participant,TaskKey,CognitiveLoad,EEG_Delta_Mean,EEG_Theta_Mean,EEG_Alpha_Mean,EEG_Beta_Mean,EEG_Gamma_Mean,EEG_Delta_Var,EEG_Theta_Var,EEG_Alpha_Var,EEG_Beta_Var,EEG_Gamma_Var,EEG_Theta_Alpha_Ratio,EEG_Theta_Beta_Ratio,GSR_Mean,GSR_Var
1,1spl1,0,0.2395370066748739,0.17661380678795713,0.4145014818096627,0.2677452511396595,-0.2078201775204918,0.2009584829002181,0.2410492168473911,0.3453180270148457,0.5108307159118007,0.7200611429266557,0.42608727377956673,0.6596337577475808,18.194720935294693,1.9607585969105414
1,1spl2,0,0.7250219007624428,0.41792052752846326,0.5979130730623807,0.3267721096033699,-0.053515171414246165,0.17005561341538517,0.318388635596865,0.3290530504612931,0.413482128911723,0.6797814194068159,0.6989653607822954,1.2789357291134544,18.06747552353186,0.16797256792424548
1,1Item1,0,0.8425284463275245,0.5153610190156612,0.6740775445267436,0.36351127719185916,-0.10401558410718874,0.1881226775857231,0.24592938295880473,0.21438236235002395,0.40751381337634307,0.6281493758564406,0.7645426293097233,1.4177304802731776,17.45508856023697,0.05633760597349271
1,1Item2,0,0.8435362331335127,0.5215880142675974,0.7171197509767585,0.298958851764925,-0.14232544213188844,0.2845339349932434,0.16637381559659029,0.22432545066101703,0.4416737828324383,0.7273021029094775,0.727337397735632,1.744681615692874,17.686396187150837,0.438448249081201
1,1Item3,0,0.7974707664949136,0.44903554320924827,0.6380487467344372,0.3082173006060561,-0.1567578993887465,0.11921635418868759,0.11965594032329217,0.1596699414422058,0.42662945277898057,0.7439334652054177,0.7037636932972114,1.45687974318579,16.48402198284366,0.09295843858612865
1,1Item4,0,0.8042233549404739,0.46350927643635464,0.6106958576301549,0.29032519605449714,-0.14570553418760127,0.18091858782398088,0.15767391406342068,0.19567034324638022,0.4353311331555786,0.7297691505803723,0.7589854587781997,1.5965175642310818,16.92872000284182,0.1418938194438449
1,1Item5,0,0.8244133401367448,0.51067927764053,0.7220349371465034,0.31851645635587716,-0.11355479814586632,0.1675542523138763,0.14593372490547724,0.18837977530689654,0.4564046669029564,0.6975838659362354,0.7072777931653378,1.603305781685089,16.696622405331407,0.17807665067101752
1,1Item6,0,0.8404479252301738,0.5083370489600887,0.7139343928272358,0.3218730258306448,-0.2008146773608648,0.09817454742834525,0.12046353868084396,0.16198550910413012,0.4982989763250217,0.7099537204872257,0.7120220756350066,1.5793092511214146,16.152070468314616,0.020948802444660894
1,1Item7,0,0.7010759868237251,0.5075476235859294,0.6892760254213045,0.33442954892510157,-0.19064236247736507,0.09870877905900367,0.19543663932447972,0.2180628659247473,0.46481597297450983,0.6985692361782261,0.736348870598471,1.5176518453575623,17.292230203990865,0.47361921802746626
1,1Item8,0,0.7102548224758394,0.4973458063796162,0.7123878683445838,0.3153882274352349,-0.1849857374583448,0.281173060483413,0.22043034783592877,0.24129990845374755,0.48865533283532925,0.6946316158033051,0.6981390725212486,1.5769320524331054,16.92716371459408,0.10960669811258793
1,1Item9,0,0.8789568491717584,0.7173777282190801,0.8408675135218092,0.33567379511456213,-0.1768475938847726,0.09192172575740429,0.11303146241587417,0.13471002734297222,0.48667639796591744,0.5910268769863657,0.8531400200744392,2.1371275819642657,17.431660526864114,0.3592328621655282
1,1Item10,0,0.9312561549226144,0.6164334233255371,0.7496496623093087,0.37551201881425905,-0.0812200681285998,0.1449758526449447,0.1779653789010085,0.18736558096571657,0.4191157372655057,0.6500720882210564,0.8222953380707302,1.641581070109143,16.535687677723164,0.13813029186504514
